MMWR_Year,MMWR_Week,Date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING
2014,30,2014-07-20,1,1,2,1,NA,7,NA,NA,4,3,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,2,NA
2014,31,2014-07-27,1,NA,3,NA,NA,3,NA,NA,7,2,NA,NA,NA,NA,NA,NA,2,1,NA,6,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,2,NA
2014,32,2014-08-03,NA,NA,1,2,NA,NA,NA,1,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,5,13,NA,NA,NA,NA,NA,2,NA
2014,33,2014-08-10,NA,2,2,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA,NA,NA,1,NA
2014,34,2014-08-17,NA,NA,1,1,NA,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,2,NA
2014,35,2014-08-24,NA,NA,3,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA,NA,NA,2,NA
2014,36,2014-08-31,1,1,10,2,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,15,NA,NA,NA,NA,NA,2,NA
2014,37,2014-09-07,1,NA,4,NA,NA,4,NA,NA,5,4,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,9,13,NA,NA,NA,NA,NA,2,NA
2014,38,2014-09-14,2,2,5,1,NA,12,NA,NA,2,6,1,NA,NA,NA,NA,1,2,1,2,5,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3,8,NA,NA,NA,NA,NA,NA,NA
2014,39,2014-09-21,2,NA,5,NA,NA,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,3,NA,7,NA,6,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,6,15,NA,NA,NA,NA,NA,5,NA
2014,40,2014-09-28,2,NA,2,2,NA,7,NA,NA,6,2,NA,NA,NA,NA,NA,2,NA,2,NA,4,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,5,7,NA,1,NA,NA,NA,3,NA
2014,41,2014-10-05,1,4,4,NA,NA,9,NA,NA,6,2,NA,NA,NA,NA,NA,3,NA,1,NA,4,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,1,5,NA,1,NA,NA,NA,2,NA
2014,42,2014-10-12,NA,3,1,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,3,2,1,NA,NA,NA,1,NA,1,4,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,3,14,NA,1,NA,NA,NA,8,NA
2014,43,2014-10-19,2,1,6,NA,NA,10,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,2,16,NA,1,NA,NA,NA,7,NA
