MMWR_Year,MMWR_Week,Date,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW.HAMPSHIRE,NEW.JERSEY,NEW.MEXICO,NEW.YORK,NORTH.CAROLINA,NORTH.DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE.ISLAND,SOUTH.CAROLINA,SOUTH.DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST.VIRGINIA,WISCONSIN,WYOMING
2014,38,2014-09-14,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,39,2014-09-21,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,40,2014-09-28,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,41,2014-10-05,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,42,2014-10-12,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,43,2014-10-19,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,44,2014-10-26,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,45,2014-11-02,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,46,2014-11-09,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
2014,47,2014-11-16,4840037,736759,6706435,2964800,38701278,5342311,3600188,934805,19897747,10083850,1417710,1630391,12882438,6593182,3105563,2899553,4410415,4648797,1328903,5970245,6757925,9914675,5452649,2988578,6058014,1019931,1880920,2831730,1328684,8943010,2083207,19773580,9941160,738658,11593741,3875008,3960673,12790341,1054782,4824758,849455,6540007,26954436,2938671,625665,8316902,7046931,1847624,5751272,583334
